"SubjectID","dSet","Subjects","Session","Hemisphere","Atlas","Finess","Region","AvgCortThickness","PialArea","SmoothPialArea","WhiteArea","GaussianCurvature","ConvexHullArea","PialFullArea","WhiteFullArea","SmoothPialFullArea","ConvexHullFullArea","PialVol","WhiteVol","GreymatterVol","PialFullVol","WhiteFullVol","GreymatterFullVol","SmoothPialFullVol","subject","At.log","Ae.log","T.log","K","I","S"
"sub-101","IDEAS","sub-101","ses-01","right","hemisphere","hemisphere","hemisphere",2.584493387,110348.9474,38580.10045,88226.03411,NA,40082.53411,115489.3217,93127.89729,41117.98059,42620.41424,NA,NA,302595.9338,1034913.585,732317.6515,302595.9338,581865.9647,"sub-101",5.04276819485561,4.58636335407054,0.412375425266301,-0.483998285099414,10.4538823994587,9.14823539413796
"sub-101","IDEAS","sub-101","ses-01","left","hemisphere","hemisphere","hemisphere",2.611291031,114574.8457,39787.20703,92066.08094,NA,41509.53945,119889.7953,97146.67089,42500.70392,44223.03634,NA,NA,330691.4547,1212070.56,881379.1052,330691.4547,639377.1572,"sub-101",5.05908928104505,4.59974345374724,0.416855277075254,-0.482162397601378,10.4925432889428,9.16259276503937
"sub-106","IDEAS","sub-106","ses-01","right","hemisphere","hemisphere","hemisphere",2.69267187,91683.87944,35387.29416,72318.95407,NA,37200.32587,97452.67355,77875.43616,38209.59434,40022.62605,NA,NA,261809.0916,907160.022,645350.9304,261809.0916,541151.8619,"sub-106",4.9622929814093,4.54884735618634,0.430183433348067,-0.508674497149586,10.3715072042918,8.91924953918741
"sub-106","IDEAS","sub-106","ses-01","left","hemisphere","hemisphere","hemisphere",2.699415413,93713.05063,35923.17166,73844.52414,NA,37942.27887,99156.88412,79154.29925,38591.99076,40611.09797,NA,NA,275911.6435,935331.1228,659419.4792,275911.6435,544803.1718,"sub-106",4.97180007564681,4.55537467358624,0.431269723271275,-0.506783404700352,10.3897141957756,8.93351736393916
"sub-011","IDEAS","sub-011","ses-01","right","hemisphere","hemisphere","hemisphere",2.507362796,112099.7177,39321.39556,88850.7802,NA,41047.02263,117094.0066,93611.39293,41560.26775,43285.89481,NA,NA,322524.1611,1205560.651,883036.4899,322524.1611,638703.6761,"sub-011",5.04960451891534,4.59462892302713,0.399217177556712,-0.494073046090216,10.4426677970559,9.22390117163816
"sub-011","IDEAS","sub-011","ses-01","left","hemisphere","hemisphere","hemisphere",2.585952569,110451.9899,40040.41994,88218.51818,NA,42207.76245,115312.0883,92839.77679,42288.28405,44455.62656,NA,NA,313206.8143,1249247.598,936040.7833,313206.8143,675566.3287,"sub-011",5.04317354451533,4.60249862366913,0.412620554879069,-0.503639457631547,10.4709132779426,9.15984178756903
"sub-114","IDEAS","sub-114","ses-01","right","hemisphere","hemisphere","hemisphere",2.529004562,92911.71283,37400.03507,74984.84262,NA,38906.83525,98070.53484,80017.84074,39710.07954,41216.87972,NA,NA,239810.5019,917727.716,677917.2141,239810.5019,568500.7859,"sub-114",4.96807046638105,4.57287200943846,0.402949612756678,-0.546544739038679,10.3468417013329,9.06848644924537
"sub-114","IDEAS","sub-114","ses-01","left","hemisphere","hemisphere","hemisphere",2.551686362,93726.3859,37893.92471,77242.16217,NA,39812.12735,99283.38972,82672.15886,40224.55187,42142.7545,NA,NA,240180.1208,939178.5218,698998.401,240180.1208,580566.3972,"sub-114",4.97186187090498,4.57856958789906,0.406827292453706,-0.547936467741988,10.3640860437114,9.06099718124008
"sub-115","IDEAS","sub-115","ses-01","right","hemisphere","hemisphere","hemisphere",2.45265877,98840.18021,38005.97113,83402.51822,NA,39800.06951,104519.0468,88914.82041,40795.01975,42589.11814,NA,NA,237273.7108,1011200.529,773926.8187,237273.7108,597928.4731,"sub-115",4.9949335285566,4.57985183411911,0.389637130507868,-0.535062698838357,10.3540596236915,9.17392208113883
"sub-115","IDEAS","sub-115","ses-01","left","hemisphere","hemisphere","hemisphere",2.455362567,97511.03167,37941.46171,83649.032,NA,39864.59393,103303.9974,89287.36978,40619.0161,42542.14832,NA,NA,223538.9299,989962.4304,766423.5005,223538.9299,592053.9946,"sub-115",4.98905375131278,4.5791140582437,0.39011563056133,-0.539781006211187,10.3483990706791,9.16239583312596
"sub-118","IDEAS","sub-118","ses-01","right","hemisphere","hemisphere","hemisphere",2.607862579,119035.2579,42676.48358,97408.36496,NA,44556.45657,125146.4889,103259.8993,45375.8275,47255.80049,NA,NA,322389.0986,1260592.707,938203.6087,322389.0986,692740.981,"sub-118",5.07567561721991,4.63018862760536,0.416284702568159,-0.503917816002704,10.5384336499616,9.21287373497717
"sub-118","IDEAS","sub-118","ses-01","left","hemisphere","hemisphere","hemisphere",2.548159582,112915.2381,40964.03363,93091.0226,NA,43693.99124,118298.1744,98279.6026,43803.77315,46533.73076,NA,NA,295834.8266,1178185.098,882350.2711,295834.8266,646056.2182,"sub-118",5.0527525546458,4.61240271400784,0.406226622804516,-0.509637526461751,10.4776085142627,9.21041106485425
"sub-120","IDEAS","sub-120","ses-01","left","hemisphere","hemisphere","hemisphere",2.520391679,124309.077,42024.3979,95865.42179,NA,44176.12228,129585.7274,100981.3963,44660.92155,46812.64593,NA,NA,371486.4745,1282613.842,911127.3672,371486.4745,671189.9993,"sub-120",5.09450284181207,4.62350149984903,0.401468037134825,-0.484140014431802,10.5209404159307,9.30277422049816
