"SubjectID","lh_bankssts_volume","lh_caudalanteriorcingulate_volume","lh_caudalmiddlefrontal_volume","lh_cuneus_volume","lh_entorhinal_volume","lh_fusiform_volume","lh_inferiorparietal_volume","lh_inferiortemporal_volume","lh_isthmuscingulate_volume","lh_lateraloccipital_volume","lh_lateralorbitofrontal_volume","lh_lingual_volume","lh_medialorbitofrontal_volume","lh_middletemporal_volume","lh_parahippocampal_volume","lh_paracentral_volume","lh_parsopercularis_volume","lh_parsorbitalis_volume","lh_parstriangularis_volume","lh_pericalcarine_volume","lh_postcentral_volume","lh_posteriorcingulate_volume","lh_precentral_volume","lh_precuneus_volume","lh_rostralanteriorcingulate_volume","lh_rostralmiddlefrontal_volume","lh_superiorfrontal_volume","lh_superiorparietal_volume","lh_superiortemporal_volume","lh_supramarginal_volume","lh_frontalpole_volume","lh_temporalpole_volume","lh_transversetemporal_volume","lh_insula_volume","BrainSegVolNotVent","eTIV"
"sub-101",3085,3475,8596,3562,1844,11060,13316,11122,2956,14226,8007,7102,4859,12409,2008,4523,4808,2586,4469,2065,10379,3044,14640,11696,3707,18392,26325,13678,15005,11050,911,2864,1341,8162,1170000,1620000
"sub-106",2668,1297,5846,2218,975,9829,10621,10202,1878,9216,7388,6749,6095,11354,2065,3684,4339,3358,3657,1510,9670,2247,12077,7607,2550,18755,22395,10237,13135,9551,1340,2330,1336,6464,1010000,1480000
"sub-011",4036,2300,6867,3189,3224,10362,14127,11547,3357,13381,8636,6565,5360,10993,2576,3570,4360,2698,3658,2171,10784,3275,13878,10085,2879,14025,23915,14620,13493,12175,907,2516,1165,7258,1150000,1500000
"sub-114",2299,1621,5572,2208,1475,9137,9524,9786,1806,9997,6515,5828,4838,11472,1803,3165,4824,2111,3026,1517,8607,2939,11201,8326,2453,16416,22412,12315,12255,9586,972,2378,1109,7393,1070000,1520000
"sub-115",2143,1729,6139,3079,1978,8803,12690,9089,3013,14374,6681,6069,5039,9425,1838,3152,4833,1723,3696,2012,9432,2801,12470,9425,2560,14460,19098,12570,10341,8757,905,1848,967,6515,1150000,1570000
"sub-118",2258,2330,7801,3509,1516,9731,13105,9990,3530,13714,8074,8176,5306,8052,1671,4645,5518,2528,3482,2502,10010,3211,16863,11965,3759,17962,25266,15303,12428,12933,809,1742,1119,8884,1280000,1810000
"sub-120",3868,1985,7687,2875,1422,13899,15305,13332,3567,12955,7707,6811,5927,15517,2645,3217,4921,2280,3627,1660,8243,4501,11253,11981,2686,19501,32235,12798,16601,12304,1459,1804,1148,6203,1220000,1640000
"sub-125",3347,1250,7418,2510,1114,8702,10713,9424,1902,10751,5965,5731,4351,11156,1890,3527,5451,2285,3629,1608,9924,2706,11927,9194,2487,14540,22810,10765,13893,12745,1005,1576,1418,6501,1030000,1350000
"sub-126",1829,1156,5203,3068,1600,7910,9695,8505,3337,11468,6719,6073,5141,8658,1895,2698,3934,2173,3481,1791,9279,2210,12497,8520,2471,16523,23697,10542,11525,10465,975,2253,1261,6524,1100000,1540000
"sub-127",1975,1197,4008,1698,960,6945,8317,7566,1859,8147,5006,4063,3705,7569,1562,2827,3562,1439,2817,1127,6732,2546,8689,7251,2320,10490,17065,10113,10169,8744,749,2035,938,5552,864238,1080000
"sub-132",4284,2688,8268,2437,2386,13356,16405,15840,3780,15863,8232,7334,6249,15515,2464,3298,7408,2499,5669,1925,13123,4001,15527,10942,3239,18103,26947,15814,18399,18036,958,2551,1430,8753,1760000,2020000
"sub-135",2107,2036,4981,2655,2268,8749,11705,10828,2422,10661,7682,6463,5174,11152,1804,3829,4667,2667,3182,1601,10267,3385,11930,8249,3267,13348,19670,12806,11274,11323,857,2478,974,6124,997346,1360000
"sub-142",1906,1354,5226,2090,866,7850,10103,11048,1450,10694,6871,4110,4505,11044,1486,3073,4748,2781,3234,1341,8867,2246,10199,7635,2454,14662,21563,11424,12199,10530,757,1745,1236,6742,1020000,1450000
"sub-143",2420,2461,6526,2600,1500,10987,11180,9239,1445,8847,6897,5730,4499,10554,1922,3491,4542,2442,3348,1608,8284,2512,11866,9449,3196,15972,22931,11609,13712,13463,620,2974,1243,7504,1190000,1560000
"sub-144",2318,1708,4463,2995,1696,8904,10542,9165,2456,10442,6524,6649,5335,9526,2190,2878,4786,1913,2656,1957,8420,2696,10244,9059,2306,10186,15384,13112,11885,9527,1014,2527,970,6104,945422,1260000
