"SubjectID","rh_bankssts_volume","rh_caudalanteriorcingulate_volume","rh_caudalmiddlefrontal_volume","rh_cuneus_volume","rh_entorhinal_volume","rh_fusiform_volume","rh_inferiorparietal_volume","rh_inferiortemporal_volume","rh_isthmuscingulate_volume","rh_lateraloccipital_volume","rh_lateralorbitofrontal_volume","rh_lingual_volume","rh_medialorbitofrontal_volume","rh_middletemporal_volume","rh_parahippocampal_volume","rh_paracentral_volume","rh_parsopercularis_volume","rh_parsorbitalis_volume","rh_parstriangularis_volume","rh_pericalcarine_volume","rh_postcentral_volume","rh_posteriorcingulate_volume","rh_precentral_volume","rh_precuneus_volume","rh_rostralanteriorcingulate_volume","rh_rostralmiddlefrontal_volume","rh_superiorfrontal_volume","rh_superiorparietal_volume","rh_superiortemporal_volume","rh_supramarginal_volume","rh_frontalpole_volume","rh_temporalpole_volume","rh_transversetemporal_volume","rh_insula_volume","BrainSegVolNotVent","eTIV"
"sub-101",3101,2963,7817,2592,1399,8672,14710,9791,2448,11438,7346,6669,4631,11655,1981,4610,4444,2806,4742,1978,9437,3901,14383,11496,2094,17772,27596,13739,14182,11037,1097,2377,1126,7783,1170000,1620000
"sub-106",2990,2688,5739,2413,1253,9193,11427,9930,2063,8777,6778,6827,6317,12366,1807,4216,3141,3682,3405,1766,8973,2765,10302,8382,1996,16717,19686,10372,11921,10148,1782,2588,1170,6061,1010000,1480000
"sub-011",1856,1722,5027,3012,2445,10729,15303,11247,2525,13489,8798,7313,5462,12571,2133,4350,3506,3100,3940,2442,10767,3058,13838,11731,2291,16954,22177,13721,10736,11158,1183,2373,928,6669,1150000,1500000
"sub-114",1761,1803,5541,2872,1563,8790,12104,7727,1777,10735,6880,5371,5723,11613,1671,3309,3696,1933,3215,2270,8863,2714,10503,8021,1606,15594,21978,10899,9985,9477,1235,2335,705,6974,1070000,1520000
"sub-115",2491,1949,5549,2956,1694,6684,14686,10917,2162,11972,6877,6565,5719,11495,1696,3585,3500,2953,3786,2183,8799,3435,13136,10271,1789,14704,17306,11893,10337,9229,1132,2008,1105,6496,1150000,1570000
"sub-118",2269,2604,7053,3857,1831,11174,18103,12588,3255,15046,7335,7808,6888,14241,2324,4306,3951,2618,4921,2489,10523,3523,14825,12963,2130,18760,26295,15357,13409,13558,1092,2400,1044,8814,1280000,1810000
"sub-120",3120,1434,6339,3646,1643,11565,16380,13017,2773,13739,8652,9006,6871,17628,2358,5639,5905,2516,5163,2074,11832,2515,14230,14038,1673,18564,27561,15553,14864,13236,1127,2439,990,7637,1220000,1640000
"sub-125",2362,1809,6482,3718,1486,7805,12927,9419,2052,12340,6300,7060,5536,12867,1890,3390,4804,2560,5463,1613,6797,2975,11289,7755,2193,19644,25051,8438,10928,7013,1276,2310,945,6432,1030000,1350000
"sub-126",1901,2188,6606,3180,1263,8072,13488,7264,2090,11376,6550,5068,5479,9999,1744,3865,3308,2155,3734,2035,8424,2561,12792,9222,1848,16008,21242,11878,10785,8158,969,1928,815,5896,1100000,1540000
"sub-127",2202,1874,4819,2009,1478,8041,10725,9204,2393,10458,5400,5296,5323,10008,1904,2446,4349,2132,4073,1306,6384,2804,6535,7174,2311,13683,20882,8279,11706,7795,1299,2192,904,5707,864238,1080000
