"SubjectID","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent","eTIV"
"sub-101",1213,1130,3076,1642,361,3340,4948,3176,1037,5815,2456,3104,1746,3272,707,1621,1670,665,1366,1443,4285,1137,5045,4429,1099,6560,8237,5699,4303,3769,314,428,512,2460,92065.7,1170000,1620000
"sub-106",1052,479,2048,1151,336,3301,3685,3410,711,3712,2086,2785,1575,3221,652,1322,1315,777,1129,932,3747,753,4058,3057,555,5771,6308,4065,3760,3027,272,415,462,1916,73844,1010000,1480000
"sub-011",1657,703,2287,1455,591,3314,5208,3584,1158,5639,3039,2762,2004,3140,684,1280,1506,734,1221,1341,4373,1156,4862,3860,876,5119,7206,5901,4051,4096,288,483,404,2237,88218.4,1150000,1500000
"sub-114",967,551,2110,1153,373,3007,3648,3109,645,4066,2103,2772,1283,3278,549,1296,1616,622,1089,1158,3596,1005,4252,3482,688,5719,7143,5294,3729,3463,245,441,415,2370,77238.9,1070000,1520000
"sub-115",988,662,2301,1631,434,3317,4819,3274,1051,6309,2239,2934,1824,3105,531,1319,1760,629,1373,1519,4115,1137,4831,3984,701,5148,6342,5592,3548,3194,270,402,405,1963,83648.7,1150000,1570000
"sub-118",869,955,2743,1716,408,3548,4677,3688,1025,5635,2562,3524,1793,2924,595,1656,1831,723,1245,1550,4501,1128,5823,4510,1119,6223,7804,6489,3626,4580,244,309,471,2595,93091,1280000,1810000
"sub-120",1602,661,2883,1562,411,4250,5399,4089,1191,5426,2461,2745,1991,4031,835,1266,1692,703,1331,1102,3081,1332,5045,4628,834,6800,10411,5176,4846,4421,398,416,426,2418,95862.7,1220000,1640000
"sub-125",1193,492,2310,1134,344,2929,3652,3271,635,4152,1776,2631,1412,2945,433,1149,1518,532,1024,1061,3712,1007,3973,3112,688,4475,6489,4193,4188,3963,203,334,531,1798,73257.8,1030000,1350000
"sub-126",756,423,2016,1502,448,2800,3835,2653,1232,5146,2215,2962,1847,2620,566,1112,1286,569,1199,1318,4201,872,4508,3465,792,5729,7768,4530,3854,4017,271,469,543,2128,79651.2,1100000,1540000
"sub-127",865,390,1811,978,275,2326,3530,2211,643,3455,1832,2012,1411,2636,540,1198,1329,496,1014,803,3127,845,3487,3173,672,4274,6109,4324,3374,3543,232,443,417,1660,65435.3,864238,1080000
"sub-132",1615,1021,3136,1395,612,4762,6401,5026,1403,6702,2758,3925,2305,4635,908,1490,2689,968,2359,1461,6280,1642,6869,5127,1152,7505,9197,6748,6132,7032,316,593,740,3116,118020,1760000,2020000
"sub-135",916,742,1737,1398,369,2863,4345,3425,858,4415,2712,3021,1903,3294,668,1203,1676,681,1244,1085,3970,1181,4303,3370,1009,5155,6408,5296,3715,3935,239,461,468,2187,80253.1,997346,1360000
"sub-142",820,526,1889,1033,232,2859,3773,3596,536,4268,2232,2206,1520,3221,531,1154,1587,689,1127,896,3631,828,3725,3052,666,4959,6766,4735,3506,3533,229,420,451,1993,73190.1,1020000,1450000
"sub-143",1008,839,2483,1256,443,3517,4241,2904,562,3993,2524,3011,1868,3139,610,1438,1487,691,1240,1175,4003,973,4860,3848,861,5942,7480,5171,4343,4935,193,445,469,2459,84411.8,1190000,1560000
"sub-144",912,568,1663,1372,343,2705,3881,2757,908,4242,2136,2747,1780,2695,572,1110,1674,531,1032,1294,3308,941,3873,3542,640,3968,5018,5323,3489,3147,268,431,366,1798,71032.6,945422,1260000
"sub-145",907,721,2562,1158,541,3285,5049,2489,991,5048,2549,2868,2029,2907,629,1197,1991,750,1578,1112,4000,1024,4875,3948,1120,6439,7740,6264,4161,3915,255,490,531,2412,87536.1,1210000,1660000
"sub-147",1075,526,2171,1385,436,3254,4020,3978,933,5086,2131,3041,1788,2570,599,1034,1340,602,1237,1482,3552,1052,4839,3575,699,6420,6875,5641,3269,3915,272,472,472,2063,81803.8,1100000,1500000
"sub-149",899,505,2420,1049,385,2954,3769,2826,617,3685,2220,2184,1466,2577,561,1499,1513,580,1272,980,3559,929,4692,3027,874,4849,8133,4315,3509,3717,284,304,403,2307,74860.9,1090000,1320000
"sub-152",1010,571,2243,1457,517,3696,4078,2871,721,4839,2100,3141,1535,3224,712,1192,1366,501,1256,1127,3747,852,4704,3850,679,5252,6968,5466,4140,4108,284,400,455,2470,81536.2,1120000,1540000
"sub-154",961,494,2153,1755,378,3134,4957,3628,841,6168,2634,3150,1778,3386,613,1120,1479,814,1372,1402,3829,893,4965,3743,741,5877,7724,6242,3904,4123,244,498,458,2297,87752.7,1230000,1690000
"sub-155",1297,575,2178,1128,575,3611,4398,4070,886,4683,2098,2643,1848,3149,684,1195,1755,653,1140,1008,4142,1154,4929,2794,602,5095,6718,4693,3593,5343,246,475,372,2230,81963.1,1060000,1150000
"sub-016",771,584,1871,2048,348,3461,4075,3231,1110,5559,2548,3010,1655,2845,613,1336,1498,638,1243,1582,3888,1102,4633,3728,802,5540,7148,6121,3737,5026,260,446,399,2415,85270.5,1100000,1430000
"sub-162",892,646,2539,1411,450,2542,4209,3338,914,4515,2403,2946,1844,2736,612,1442,1595,648,1090,1304,3989,1106,4726,3734,807,4999,6625,5348,3222,3110,241,465,417,2031,78897.1,1080000,1480000
"sub-164",856,386,1307,1290,424,2529,3766,2542,752,4183,2148,2373,1825,2657,522,980,1179,537,1025,1127,4111,783,4154,3074,587,3715,6331,3971,3784,3740,251,427,404,2113,69852.2,987407,1300000
"sub-176",1075,621,2255,1266,386,3457,5080,3007,774,5129,2406,2643,1924,3178,512,1428,1586,682,1128,1224,3710,918,4841,3494,914,4919,8090,5548,4150,3002,238,498,437,2049,82570.4,1190000,1640000
"sub-185",900,526,2014,2264,430,2876,4570,3202,1136,5101,2579,3158,1789,2979,675,1073,1394,585,1059,1374,3659,927,4764,3372,666,5799,6988,5313,3950,3510,321,472,441,1997,81862.6,1070000,1400000
"sub-186",857,907,1647,1073,322,2712,3384,2679,890,3941,1867,2523,1586,2601,477,1058,1494,607,1229,993,3244,1052,4187,3211,1001,4282,6298,5478,3540,3353,263,378,486,2049,71668.4,959288,1460000
"sub-197",706,659,1862,1289,523,2853,3352,2429,799,4245,2011,2391,1468,2600,518,1051,1622,672,1219,1120,3818,820,4497,3332,642,5312,6952,5442,3929,3635,261,394,504,2388,75314.7,1010000,1290000
"sub-199",950,561,2276,1263,403,2683,5565,3437,751,5548,2909,3187,1794,2951,547,1428,1133,759,983,1240,3987,1037,4365,3351,717,4950,6357,6244,3830,4289,240,621,387,2155,82896.8,1050000,1300000
"sub-201",963,957,2307,1544,541,3394,4781,3640,906,6180,2485,3807,2149,3582,621,1493,1734,596,1580,1428,4805,1310,5205,3703,994,6580,7941,5711,4019,4871,284,465,550,2523,93648.3,1180000,1760000
"sub-203",766,251,1797,1118,384,2667,3412,2881,664,3834,2477,2527,1775,2842,621,1081,1424,616,1012,1057,3335,612,4233,3103,568,4149,5299,4382,2852,3388,303,471,313,2075,68289.2,886882,1170000
"sub-207",804,496,1711,862,323,2973,3098,2919,641,3483,1509,2320,1323,2664,643,1235,1323,550,1041,794,3062,908,4094,2320,426,4129,5627,3481,3140,3168,171,443,396,1848,63925.7,877423,1140000
